field,sourceType,availableIn,format,notes
candidateFingerprint,perCandidateLedger+checkpointFronts,"S02 directional-lifecycle-events.csv(fingerprintSha256); S12/S14 telemetry-pddr-full-ledger(stableFingerprint); S39 LOCAL-FE-PACING checkpoint-fronts.csv(candidateFingerprint); S13/S15 offspringFingerprint/teacherFingerprint",64hex SHA-256字符串,"NOT_EXPORTED: S20/S21/S22/S29/S30/S31的front.csv与前沿仅Cmax,TEC,TWC三列(GAP-PROBE/FC6前沿无候选身份,覆盖差分析在这些数据源只能按坐标); S07 FC5-250K checkpoint-metrics仅聚合"
lineageId,perCandidateLedger,"S12/S14 telemetry-pddr-full-ledger(parentId+lineageId列,真实64hex值)",64hex,"NOT_EXPORTED: FC5-250K lifecycle events、LOCAL-FE-PACING checkpoint-fronts、GAP-PROBE/FC6全部。15-final-pddr-provenance报告确认parent/lineage契约通过,但仅在2k/50k诊断jar运行上"
firstObservedFE,derived(跨checkpoint join),"S39 checkpoint-fronts(某指纹首次出现的checkpointTargetFE); S12/S14 telemetry-pddr-full-ledger(candidateOrdinal/cycle/actualFE)",FE整数,"无专门列。EVIDENCE_FIELD_LIMITATION: LOCAL-FE-PACING检查点仅50000/100000/150000/200000/250000五档,精确出生FE不可恢复; S14 50k ledger可给cycle级精度"
lastSeenFE,derived(跨checkpoint join),"同firstObservedFE数据源; S02 lifecycle events有retiredAtCycle(逐代表)",FE整数,"EVIDENCE_FIELD_LIMITATION同上; FC5-250K有逐代表retiredAtCycle,LOCAL-FE-PACING只能取最后出现检查点"
enteredMergePool,lifecycle events+PDDR ledger,"S02 directional-lifecycle-events.poolPresent; S12/S14 telemetry-pddr-full-ledger(每行即pool成员+poolSize); DIAG 02-implementation cata-contribution-events.enteredPddrPool(schema列)",0/1,"NOT_EXPORTED: LOCAL-FE-PACING 250k(无PDDR池导出,仅pddr-observation.properties聚合); GAP-PROBE/FC6"
selectedByPddr,lifecycle events+PDDR ledger,"S02 .pddrSelected; S12/S14 .selected/selectedRank/selectedSlot/rejectionReason; S13/S15(schema 02-implementation含pddrSelected列;真实2k/50k事件头无该列)",0/1或rank,"LOCAL-FE-PACING 250k: NOT_EXPORTED → 预登记裁决门第4条(pool存在→PDDR后丢失)在主时序数据上不可直接观测"
enteredWorkingPopulation,lifecycle events,"S02 directional-lifecycle-events.enteredNextPopulation/nextCycleEligible; DIAG cata-contribution-events.survivedNextCycle(schema列)",0/1,"NOT_EXPORTED: LOCAL-FE-PACING 250k、GAP-PROBE、FC6、FC5-250K检查点前沿(前沿快照≠working population成员导出)。H1/H2核心缺口:只能用S39前沿指纹差分做代理推断,非直接利用链观测"
enteredArchive,teacher/cata events(schema) ,"DIAG 02-implementation teacher-use-events.csv与cata-contribution-events.csv的enteredArchive列(1KB schema样例)",0/1,"真实2k/50k ON运行的teacher-use-events实际导出头无该列=NOT_OBSERVABLE(S13/S15); FC5-250K remote-results无逐候选档案成员(仅S06 archive-working-gap聚合); LOCAL-FE-PACING: NOT_EXPORTED"
teacherUsed,lifecycle events+teacher events,"S02 directional-lifecycle-events.teacherUsed; S13/S15 telemetry-teacher-use-events(逐事件即一次teacher使用); S03 nextToTeacherRate汇总",0/1或计数,"LOCAL-FE-PACING 250k: NOT_EXPORTED; GAP-PROBE/FC6: NOT_EXPORTED"
offspringImproved,lifecycle events+teacher events,"S02 .improvedOffspring/improvedOffspringCount; S13/S15 real telemetry-teacher-use-events.offspringImproved(末列,布尔)",0/1或计数,"LOCAL-FE-PACING 250k: NOT_EXPORTED; FC6/GAP-PROBE: NOT_EXPORTED; S26 CAL用26300事件做过离线有效率分析(50k代理)"
directionRole(G1_CMAX等),lifecycle events+PDDR ledger,"S02 .representative(E_C/E_E/E_W/E_B); S12/S14 .semanticRoleBefore/semanticRoleAfter(G1_CMAX/G2_TEC/G3_TWC/G4_BALANCED)+isDirectionalCmax/Tec/Twc/isBalancedRepresentative四布尔位; S13/S15 .requesterRole",枚举,"四方向语义固定(G1_CMAX/G4_BALANCED/G2_TEC/G3_TWC); E_C/E_E/E_W/E_B为同一语义的事件侧命名; LOCAL-FE-PACING 250k: NOT_EXPORTED"
sourceModule,ledger+events,"S02 .source(O1_O9等局部来源); S12/S14 .source(GLOBAL_OFFSPRING等); DIAG cata-contribution-events.context(G1_CMAX/SEQ/N1等); S24 FC6A3账本类别(PARENT/GLOBAL_Q_FINAL/CATA_TEST/CATA_APPLY/CRITICAL_SWAP/CRITICAL_INSERT/O1-O9)",枚举,"S39 checkpoint-fronts: NOT_EXPORTED(前沿点无来源模块)"
pddrRetained,derived(PDDR ledger),"S12/S14: 由selected/selectedRank/rejectionReason直接推导(保留=selected=true或rejectionReason=SELECTED); S03 poolToNextRate为汇总保留率",0/1或比率,"无显式'pddrRetained'列。EVIDENCE_FIELD_LIMITATION: 候选级PDDR遥测本地仅存在于2k/20k/50k诊断运行(S12/S14),250k预算运行(FC5-250K、LOCAL-FE-PACING)均未导出候选级PDDR ledger"
enteredCandidateSet,derived(PDDR ledger),"S12/S14: 每行即一条进入PDDR候选集的候选(含poolSize/strictNdCount聚合于S04)",行级,"无显式布尔列; FC5-250K仅S04 pddr-rounds.csv聚合(poolSize/uniqueObjectiveCount/strictNdCount); LOCAL-FE-PACING: NOT_EXPORTED"
nextRoundSurvival,lifecycle events,"S02 .survivedNextCycle/.nextCycleEligible(含右删失标注); S03 nextToNextCycleRate(剔除末轮右删失)",0/1,"LOCAL-FE-PACING 250k/GAP-PROBE/FC6: NOT_EXPORTED"
teacherSource,teacher events,"S13/S15 real telemetry-teacher-use-events.teacherSource(QG等)+scope列; S26/S25 CAL分析用它定位集中路径",字符串,"FC5-250K remote-results: NOT_EXPORTED(仅lifecycle teacherUsed布尔); LOCAL-FE-PACING: NOT_EXPORTED"
cacheType,teacher events,"S13/S15 real telemetry-teacher-use-events.cacheType(PREVIOUS_CACHE/HISTORICAL_CACHE/TOURNAMENT类); S25 CAL closure凭它判定集中真源在缓存路径",枚举,"FC5-250K/LOCAL-FE-PACING/GAP-PROBE: NOT_EXPORTED; H3的路径级集中分析只能在2k/20k/50k ON遥测上做"
top1Share计算所需的teacherId序列,teacher events(逐事件),"S15 A4-50k-ON telemetry-teacher-use-events.csv(1.3MB,约26300事件,teacherFingerprint逐事件); S13 2k版; S16 telemetry-teacher-concentration.csv直接给Top1Share/Top5Share聚合",逐事件CSV,"NOT_EXPORTED(关键缺口): FC5-250K 250k remote-results、LOCAL-FE-PACING 250k、GAP-PROBE 500k均无事件级教师遥测本地副本 → H3预登记门要求的'250k时序集中度恶化'不可直接计算,只能用50k代理(S15/S16)"
normalizedEntropy计算所需数据,teacher events+aggregate,"同上逐事件teacherFingerprint序列可重算; S16 telemetry-teacher-concentration.csv直接含ShannonEntropy/NormalizedEntropy逐窗口",double,"同上: 250k主时序数据上NOT_EXPORTED; 50k/2k代理可用; CAL_PREREGISTRATION_REPORT已给50k离线值(Hn=0.985锦标赛路径)"
offspringObjectives,teacher events+PDDR ledger,"S13(2k real).teacherObjectives(815|114500|308000竖线分隔); S12/S14 objectives列=FINGERPRINT_ONLY(无数值)",竖线分隔三目标,"NOT_EXPORTED: S12/S14候选目标数值(FINGERPRINT_ONLY); S13/S15 offspring数值(仅offspringImproved布尔); S02/S39全部; →后代目标级有效率(严格支配改善)只能在2k real运行重算,50k仅布尔"
decisionFront时序,checkpoint metrics+fronts,"S36 checkpoint-metrics.decisionFrontSize(50000-250000五档,C0/C2/C3×2实例×3seed); S39 checkpoint-fronts frontType=checkpoint-decision-front(含逐点指纹)+terminal-decision-front; S07 FC5-250K checkpoint-metrics frontType=decisionArchiveFront(10档含250000)",逐检查点,"GAP-PROBE/FC6/Stage2: NOT_OBSERVABLE(仅终态front.csv); observed与decision逐点集合差(C-metric/potentialHvRecovery)可在S39+S36上按指纹计算"
observedFullFront时序,checkpoint fronts+metrics,"S39 checkpoint-fronts frontType=checkpoint-observed-full-front(1803点)+terminal-observed-full-front(960点,含逐点指纹); S36 .observedFullFrontSize; S07 FC5-250K frontType=observedFullFront(仅聚合)",逐检查点,"LOCAL-FE-PACING是唯一同时有observed-full与decision逐点指纹的数据源(S39); FC5-250K仅聚合计数(NOT_EXPORTED逐点); GAP-PROBE/FC6: NOT_OBSERVABLE(无时序无指纹)"
checkpoint HV/IGD,metrics,"S36(LOCAL-FE-PACING 250k,HV/IGD/Spacing/C指标五档); S07(FC5-250K,10档); DIAG 2k/20k/50k各checkpoint-metrics(HV/IGD/ideal/nadir); S38配对delta序列",double,"GAP-PROBE/FC6/Stage2: NOT_OBSERVABLE(仅终态); 注意S36的HV/IGD基于PFref(reference-fronts),与S07的FORMAL_DECISION参考族口径不同,跨campaign比较须统一参考集"
