decision,campaign,yearEvidencePath,whatWasConcluded,whatWasNOTConcluded,implicationForH1H2
①FC5候选利用断裂链250k否证(ND膨胀→PDDR压缩→四方向代表断裂),V35-FC5-MIDHORIZON-250K,docs/evidence/V35-FC5-MIDHORIZON-250K/01-root-cause-analysis/remote-results/FC5_250K_ROOT_CAUSE_REPORT.md,裁决FC5_TRANSFER_NOT_CONFIRMED_AT_250K/CANDIDATE_OVERFLOW_UTILIZATION_BREAK_NOT_SUPPORTED。证据强度:预注册正负对照;12/12运行(100_2_4_1+100_5_3_1×seed20260901-03×A2/A4;250k;telemetry ON);maxNnd=92(无overflow轮);困难vs正例Roverflow差+0.038<0.25;方向保留差最大0.075<20pp;archive-working gap=0;H1.1-H1.4全FAIL。先前50k首档(ΔRoverflow=0.255)与100k(情形C INCONCLUSIVE:Nnd<90;保留100%)亦未确证,未否证PDDR在其它情形/其它实例的价值;未检验500k后机制;未拆分CFVF/Qp/CA-TA各自贡献;仅2个100-job实例3seed;迁移审计覆盖的是'溢出→压缩→断裂'这一特定链;不是所有利用失效模式,否决的是'ND溢出触发PDDR压缩导致利用断裂'这一修法叙事及其在该两实例250k的成立性;不是PDDR选择机制本身也不是'利用断裂'概念全称。当前审计H1/H2使用不同裁决门(working population压缩/observed-only点):若缺候选级字段须INSUFFICIENT_EVIDENCE;不得从本否证跳到NO_ACTIONABLE_LEVER;也不得反证'PDDR无罪'
②FC6否决ORDER_SWAP(局部搜索顺序交换),V35-P26/FC-6A.4,docs/evidence/V35-P26/FC6_FINAL_CLOSURE_REPORT.md(§5)+FC6A4-local-search-order/ORDER_DECISION.md,20_2_3_1×3seed×500k:反序中位minCmax改善6.8705%但中位IGD恶化11.6789%>预注册10%门→不转正;保持CA-TA-Lite→inherited LS;揭示反序下CA-TA得FE=0的预算顺序效应,仅20_2_3_1单实例;不证明反序普遍无价值;未触及PDDR/working population利用链(只动局部搜索先后),否决的是'交换局部搜索顺序'修法;不能引申为'生存/利用环节不可改'。对H1:候选生成与局部搜索顺序轴已排除;若H1成立杠杆应指向PDDR选择→working population环节(但须先过候选级证据门)
③FC6否决BP_RESERVED_LEGACY/BP-PDDR,V35-P26/fc6-bp-pddr,docs/evidence/V35-P26/fc6-bp-pddr/STAGE3_BP_PDDR_100JOB_VETO.md+FC6_FINAL_CLOSURE_REPORT.md(§3.1;§8.1),BP-PDDR(Build B)在100_2_3_1 500k×3seed否决线触发:seed22 HV-5.9%/IGD+21.8%;seed24 HV-11.9%/IGD+50.8%双项越线(2/3);alternative reference复核结论稳健;确定性重跑逐位相同;BP_RESERVED_LEGACY在FC-6正式比较中fail-closed未进实验(仅历史兼容),未测其它实例;BP-PDDR上'三目标极值全部改善(Cmax-1.0%~-3.5%)而frontSize恶化(178vs389)'的机制未深审计;未形成极值/覆盖分离的机制结论,否决的是BP预留修法。重要历史模式:极值改善+覆盖崩塌在BP-PDDR上已复现一次——支持当前审计问题(极值尚可/覆盖崩塌)非LOCAL-FE-PACING特有;但不构成H1-H4任一机制的因果证据
④FC6否决REGION_AWARE 15/55/15/15,V35-P26/FC-6B,docs/evidence/V35-P26/FC6_FINAL_CLOSURE_REPORT.md(§6)+FC6B-region-aware/FC6B_RESULT.md,2实例×3seed×500k(r3批次;SHA 60d70be7...98ae):20-job中位HV-3.9689%/IGD+67.8729%;100-job中位HV-22.7133%/IGD+371.7009%+灾难seed一票否决→STOP_REVIEW;维持GLOBAL_ORIGINAL;逐生存周期复核精确15/55/15/15,不推出所有区域化生存选择永远无效;失败后未加教师门控/压力掩码/容量调整挽救(单支纪律);独立人工复核+新预注册未做,否决的是固定区域配额修法(15/55/15/15)。对H2:即使PDDR压缩被证实;修复路径不得重提区域配额(预登记§5禁止项);四方向代表进入working population的问题不能用容量分配旋钮解决——历史已试并失败
⑤Teacher lambda锦标赛惩罚方案关闭,PFC5-CAL,docs/evidence/V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/07-closure/CAL_REPAIR_FAMILY_CLOSURE.md,REPAIR_FAMILY_NOT_PURSUED_STRUCTURAL_NO_LEVERAGE(0-FE关闭):唯一注入点Qg action-2锦标赛仅覆盖1.12%教师事件(295/26300);翻转一次中位差需lambda≈25.08(超最大提议84倍);集中真源在HISTORICAL top5=37.1%/PREVIOUS top5=27.9%缓存路径(Qp四动作+Qg两缓存动作候选集全部单例;注入点结构上不存在);teacherHypothesisRejected=false;dualQRejected=false,Teacher集中假设本身未证实也未否证(保持ROOT_CAUSE_CANDIDATE);缓存管理语义层单旋钮未试;race未运行;8M FE的race被判定为预先可知的机械性空集,否决的是lambda锦标赛注入修法;不是Teacher集中假设。H3裁决:不得重提该方案(预登记禁止);H3所需250k时序top1Share/熵数据NOT_EXPORTED(仅2k/20k/50k代理)→H3大概率INSUFFICIENT_EVIDENCE;除非主Agent在50k代理上找到门内信号且确认可达新注入点
⑥Stage2 A0-A4先导结论,V35-STAGE2-PILOT-A0-A4-20260823,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/PILOT_DECISION.md,100_2_3_1×12seed×500k:统一参考前沿1979点;A0→A4中位ΔHV+25.24%/ΔIGD+19.02%(HV/IGD 11/1胜);链非单调:A1→A2(CFVF)+29.90%;A2→A3(Qp/个人档案)-16.24%有害;A3→A4(CA-TA)+22.82%恢复;PDDR bestever记录丢失真实存在(6/12 seeds;最坏2.51%;全部A0-A4共有)但无法区分'严格多目标选择的合理取舍'vs'候选池/排名非预期损失';full_4500_campaign=PAUSED;pddr_change=NOT_APPROVED,PDDR候选生命周期深审计未做候选指纹级(当时建议;后续走的是FC5-T/250k诊断路线);单实例;不能升级为多实例结论;Qp块有害性未复核修复,A4全链积极信号与中间非单调并存。对H4:Qp/个人档案曾在A2→A3显示有害;但系冻结前观察;未按H4门(生成贡献下降)检验。对H1/H2:'极值记录未持续保留'信号与当前审计问题同源;但证据为旁路审计级(gap统计)而非候选指纹级——支持做observed/decision集合差分析;不支持直接改PDDR
⑦GAP-PROBE-V2 500k结论,V35-PFC5-GAP-PROBE(V2),docs/evidence/V35-PFC5-GAP-PROBE/06-v2-decision/GAP_PROBE_V2_DECISION.md,16/16 500k完成验收:50_2_3_1上A4全面领先A0与NSGA-II-F;与SPEA2-F仅HV差4.0%(GAP_WITHIN_5);100_5_3_1上A4/A0相对NSGA-II-F/SPEA2-F HV落后63-68%;IGD落后260-311%(GAP_GT_15);但minCmax接近全场最优;minTEC/TWC差~3%;A0在100_5_3_1 seed间剧烈波动(gapHV-130.9%↔+44.1%);最强external=SPEA2-F(2.25),未定位根因(明示为开发方向输入);前沿无候选指纹→无法做利用链/覆盖收缩机制分析;未解释外部适配器(解码级观测内存路径)与V35的语义等价性边界(EXTERNAL_ADAPTER_MEMORY_DEBT),为审计问题提供正式量化基线:崩塌集中于覆盖质量而非极值;正是H1-H4要解释的现象。任何裁决必须能解释63-68% HV差距;同时与最强外部核的差距部分可能来自适配器观测路径差异;不得直接全归为V35缺陷
⑧LOCAL_FE_PACING 250k否证(NO_REPAIR_CANDIDATE),V35-GAP-LOCAL-FE-PACING-REPAIR,docs/evidence/V35-GAP-LOCAL-FE-PACING-REPAIR/18-250k-decision/250K_REPAIR_DECISION.md,NO_REPAIR_CANDIDATE:18/18 COMPLETED且主Agent独立复算PASSED(IGD一致至4位小数);C2(betaMax=0.45)三重失败(50job安全门ΔHV-3.19%<-2%;100job改善门ΔHV-6.43%/ΔIGD-21.99%无改善;2/3 seed灾难);C3(betaMax=0.35)四门PASS但检查点一致性门CONFLICT(50_2_3_1 ck100000 ΔHV-6.87%/ck150000 -5.15%;各3/3 seed与终态反方向;终态才追平);repairFamily=REJECTED_AT_250K_CONFIRMATION;50k正信号(ΔHV+10.72%/ΔIGD+25.13%)在250k完全反转,只否决LOCAL_FE_PACING(betaMax预算重分配)修法族;未否决CFVF/Dual-Q/CA-TA-Lite本体/PDDR/GLOBAL_ORIGINAL语义(PDDRChanged/CFVFChanged/DualQChanged/CaTaChanged/formalJarChanged全false);未测其它轴;观察性机制证据仅限budget重分配维度;无候选级利用链遥测,否决的是'局部FE预算重分配'修法;不是CFVF/Dual-Q/CA-TA机制也不是PDDR。对H1/H2:betaMax轴已耗尽(与⑨共同封死预算杠杆);GAP-LEVERAGE-AUDIT选出的唯一杠杆被否证后;当前审计必须寻找其它轴或给出NO_ACTIONABLE_LEVER;50k开发筛查信号不足以预测250k——预登记§5的20k/50k门设计需以此为风险基线
⑨杠杆审计排除CFVF/Qp与Credit-Timing(betaMax唯一入选),V35-GAP-LEVERAGE-AUDIT,docs/evidence/V35-GAP-LEVERAGE-AUDIT/module-leverage-matrix.csv+single-repair-family-decision.md,15旋钮逐判:H_CFVF_QP_GUIDANCE排除——≥10%覆盖率的可达旋钮全部位于冻结区(CFVF变异率硬编码未暴露/Qp动作分布属Q语义禁区/mixture被D-109冻结/PA不在引导链);唯一非禁区数值参数(COMPLEMENTARY qualityTolerance=0.15)证据不可证;H_CREDIT_TIMING离线不可测(需新遥测工具;被禁止);betaMax唯一过R1-R5→SELECTED后排除了全部其它轴,CFVF/Qp生成偏置假设未被否证(排除!=否证;矩阵明确登记为待观测);qualityTolerance是否有效杠杆未测;教师集中度确实在100-job恶化(G1_CMAX top1 8.8%→21.5%/58.7%)但无可达旋钮,H4当前状态='假设活着但无可达旋钮':若H1-H3证据不足;H4裁决大概率NO_ACTIONABLE_LEVER而非CFVF_QP_GENERATION_BIAS——除非本轮发现新的非禁区接口;且预登记禁止改奖励/动作集合/P-G时序。该审计确认的'教师集中恶化但无杠杆'事实是H3门第5条('存在未被否决的真实可达杠杆')的历史反例素材
⑩FC5-T 100k迁移筛查INCONCLUSIVE,V35-FC5-100JOB-TRANSFER,docs/evidence/V35-FC5-100JOB-TRANSFER/05-decision/FC5_TRANSFER_100K_DECISION.md,情形C(INCONCLUSIVE):100k内36个PDDR轮Nnd∈[8;76]从未>90;四方向代表pool→next保留率100%(两臂);教师链路未断裂;A4后半段cmaxGap转正3.65-5.94(<1% Cmax)与W2教师曝光回落(23806→3693)为未解释信号;明确警告'候选多本身不是根因;禁止据此修改PDDR';PDDR_KEEP_GLOBAL_ORIGINAL,未到250k该机制无法确证也无法否证;曝光回落未定性(幅度不足);情形B因cmaxGap非零不全成立,与①共同构成'溢出→压缩→断裂'链在50k/100k/250k三档的系统排查(均未确证)。教师曝光回落是H3的历史线索之一;但发生在100k中程;幅度未达预登记H3门(需250k时序集中度恶化≥20pp);且H3在250k缺逐事件数据——倾向INSUFFICIENT_EVIDENCE
