slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
0,-1,"7,1,4,6,3,0,2,5,9,8","1,1,0,0,0,0,1,1,1,0","1,0,0,0,0,0,1,0,0,1","0,0,1,1,0,0,1,1,1,0",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[7, 1, 4, 6, 3, 0, 2, 5, 9, 8]|[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]|null|[0, 0, 1, 1, 0, 0, 1, 1, 1, 0]"
1,-1,"7,5,0,2,3,8,6,1,4,9","0,0,1,0,1,0,0,1,0,1","0,2,0,1,0,1,1,0,0,1","1,0,1,0,1,1,1,0,0,0",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[7, 5, 0, 2, 3, 8, 6, 1, 4, 9]|[0, 0, 1, 0, 1, 0, 0, 1, 0, 1]|null|[1, 0, 1, 0, 1, 1, 1, 0, 0, 0]"
2,-1,"5,9,4,3,6,1,7,2,0,8","1,0,1,0,0,0,1,1,1,0","1,1,1,0,0,2,0,0,1,1","1,1,0,1,0,1,0,1,1,0",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[5, 9, 4, 3, 6, 1, 7, 2, 0, 8]|[1, 0, 1, 0, 0, 0, 1, 1, 1, 0]|null|[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]"
3,-1,"7,4,6,9,0,5,2,1,8,3","1,0,1,1,1,1,0,1,1,1","0,1,0,1,0,0,2,0,1,0","1,0,1,1,0,0,0,1,0,0",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[7, 4, 6, 9, 0, 5, 2, 1, 8, 3]|[1, 0, 1, 1, 1, 1, 0, 1, 1, 1]|null|[1, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
4,-1,"3,4,8,1,9,2,7,0,6,5","0,0,1,1,0,0,1,0,1,1","0,1,1,0,0,1,0,0,0,1","1,0,1,0,1,0,1,1,0,1",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[3, 4, 8, 1, 9, 2, 7, 0, 6, 5]|[0, 0, 1, 1, 0, 0, 1, 0, 1, 1]|null|[1, 0, 1, 0, 1, 0, 1, 1, 0, 1]"
5,-1,"9,2,3,8,7,6,4,1,0,5","0,0,1,0,0,0,1,1,1,1","0,2,1,0,1,0,1,0,1,1","0,1,0,1,1,0,1,0,0,1",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[9, 2, 3, 8, 7, 6, 4, 1, 0, 5]|[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]|null|[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]"
6,-1,"7,8,2,4,6,5,9,3,1,0","1,1,0,0,0,1,0,1,1,0","0,0,1,1,0,0,1,0,0,1","0,0,0,0,1,1,1,1,0,0",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[7, 8, 2, 4, 6, 5, 9, 3, 1, 0]|[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]|null|[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
7,-1,"8,0,5,7,2,1,3,4,9,6","1,0,1,0,0,1,1,0,0,0","0,2,1,0,1,0,1,2,1,1","1,0,0,0,0,1,1,0,0,0",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[8, 0, 5, 7, 2, 1, 3, 4, 9, 6]|[1, 0, 1, 0, 0, 1, 1, 0, 0, 0]|null|[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
8,-1,"0,8,2,6,7,5,1,4,3,9","0,1,1,1,1,1,0,0,1,1","2,0,1,1,0,0,2,1,0,1","0,1,0,1,0,1,1,1,0,0",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[0, 8, 2, 6, 7, 5, 1, 4, 3, 9]|[0, 1, 1, 1, 1, 1, 0, 0, 1, 1]|null|[0, 1, 0, 1, 0, 1, 1, 1, 0, 0]"
9,-1,"2,8,6,5,3,9,7,0,1,4","1,1,1,1,1,0,0,0,1,0","0,1,0,0,1,1,0,1,1,0","1,1,1,0,0,0,1,1,0,1",0.0000000000000000,0.0000000000000000,0.0000000000000000,"[2, 8, 6, 5, 3, 9, 7, 0, 1, 4]|[1, 1, 1, 1, 1, 0, 0, 0, 1, 0]|null|[1, 1, 1, 0, 0, 0, 1, 1, 0, 1]"
