role	artifact	sha256	sourceNote
formal_jar	A4/A0 frozen formal algorithm Jar (V35-FC5-MIDHORIZON-250K/00-preregistration/runtime/formal-algorithm-8DAD8F40.jar)	8dad8f40266feeaa4cdb9b47dbe4e342d9064847df32c7f2933149b9b6bad8b9	identical copy verified in 26-final-runtime-jar-validation + isolated freeze dir
external_jar	SPEA2-F comparison Jar (V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT production build)	966da3d2d23842f4ea5892e8da57404c88b076be2f9fcb568b54953f525447d9	20k preflight PASSED; frozen formal/ diagnostic jars untouched
arm_launcher	thin five-arm launcher Jar (compiled against frozen Jar from V35-STAGE2-MASTER-V2 evidence source v35-formal-a0-a4-external-runner-v1)	bb9d1ce36147e046725b2ea12da14cc7c7cf89b94474d5f496411627f6d88e3b	algorithm classes load from frozen Jar at runtime; launcher itself carries no search logic
hash_probe	zero-FE probe Jar (profile/snapshot hashes + local materialization)	f5de5272955f005736f599198e03f3cb9bcef5966e713311d8d074819dfb9503	tools/java-src/GapProbeHashProbe.java
a0_source	org/uma/jmetal/algorithm/multiobjective/hmopsoqgs/PublishedHmopsoQgs.java	84c31eaf817c3f34b06a346e68b94c1aa36ecd7af1b3d16346d3f7a8ed06dc0c	Phase 0 baseline readiness audit (live tree source of the frozen arm)
spea2_source	org/uma/jmetal/algorithm/multiobjective/mypso/v35/p25e/official/OfficialJMetal58SPEA2.java	06a9ea8291ada04b145b6ef709714fb5a2ebf9d476a613d63526913dca76bb7a	GitHub tag jmetal-5.8 commit 831d62d0 line-identical except isolation renames
armProfile_A0_500k_s20260827	V35FinalAblationProfile.configurationHashFor(A0,20260827,100,500000)	7268d990a3451d7dd7eee3ba9024dc3905a6c6c0f5e7e6e5877956a43f2db269	deterministic; probe output profile-hashes.txt
armProfile_A0_500k_s20260906	V35FinalAblationProfile.configurationHashFor(A0,20260906,100,500000)	ef323509dca10b7355e95b845a3416fce7eb182e1646f024bdfa0dcf62177a12	deterministic
armProfile_A4_500k_s20260827	V35FinalAblationProfile.configurationHashFor(A4,20260827,100,500000)	f4ffe5976d024a06ea6fb69cd29eb42d9dcf7df10659e07e7c6808edf5042f47	deterministic
armProfile_A4_500k_s20260906	V35FinalAblationProfile.configurationHashFor(A4,20260906,100,500000)	78e8196228211ed4fd94d0485d1662b1f492670ddf647f629df412807e24d2df	deterministic
