factory,stage,worker,efficiency,cost,lambda,mu,r,delta,eligible
0,0,0,1.2000000000000000,12,0.026910216099651475,0.034574509866280250,0.30000000000000000,16.083427597309207,true
0,0,1,1.0000000000000000,10,0.019031052517911810,0.042003943265363816,0.30000000000000000,22.742226782219984,true
0,0,2,0.90000000000000000,9,0.016469758188385045,0.066866988756467950,0.30000000000000000,26.278984021266215,false
0,0,3,1.1000000000000000,11,0.016035794806025200,0.044923047833309040,0.30000000000000000,26.990150316968880,false
0,1,0,1.2000000000000000,12,0.020627407023327354,0.043983077705094190,0.30000000000000000,20.982206429398985,false
0,1,1,1.0000000000000000,10,0.026559946587293902,0.059506364030064400,0.30000000000000000,16.295533985514176,false
0,1,2,0.90000000000000000,9,0.012729338129720998,0.065342985380131170,0.30000000000000000,34.000865391119540,true
0,1,3,1.1000000000000000,11,0.024516346668978548,0.043395852293984480,0.30000000000000000,17.653874702887027,true
1,0,0,1.1000000000000000,11,0.012935701129515060,0.063507722404199880,0.30000000000000000,33.458450217217900,true
1,0,1,1.2000000000000000,12,0.014007937494133423,0.067304527860011370,0.30000000000000000,30.897376037546632,true
1,0,2,1.2000000000000000,12,0.020270113145348274,0.044541492448365354,0.30000000000000000,21.352052115506464,false
1,0,3,0.90000000000000000,9,0.020790557346884078,0.050244845362660060,0.30000000000000000,20.817552172623927,false
1,1,0,1.1000000000000000,11,0.020064088873470325,0.049528820829576150,0.30000000000000000,21.571301592417120,false
1,1,1,1.2000000000000000,12,0.014388157125279986,0.061862146087007950,0.30000000000000000,30.080885863155100,false
1,1,2,1.2000000000000000,12,0.027304451263626864,0.068284500916848100,0.30000000000000000,15.851207119596910,true
1,1,3,0.90000000000000000,9,0.013579305034188385,0.066138648916623470,0.30000000000000000,31.872655572359147,true
