claim	closure_section	source_path	source_sha256
Qp四个动作候选集均为确定性单例（KEEP=pbest单解; DIRECTIONAL/EPSILON=argmin; COMPLEMENTARY=确定性级联）	2	V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/01-source-semantics/current-teacher-actions.csv	58b4a3d46a587fd554ad6bdb6f367988c94cbda660e959a73c072e952ef52845
Qg action-0/1读取每子群单例缓存，候选基数=1	2	V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/01-source-semantics/current-teacher-actions.csv	58b4a3d46a587fd554ad6bdb6f367988c94cbda660e959a73c072e952ef52845
Qg action-2是全部Qg/Qp选择面中唯一多候选集合（全局档案二元锦标赛，消耗nextInt×2）	2	V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/01-source-semantics/TEACHER_SELECTION_CALL_CHAIN.md	d3a6f08369856b1c47c94526e91ed54940ccc243a6474f1b5d9e3eb6b3240be0
锦标赛路径占全部teacher事件1.12%（295/26300），占Qg选择24.58%；C3不可达	3	V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/06-preregistration-decision/CAL_PREREGISTRATION_REPORT.md	d597f713effec3117eaf925184a5a4a7cbfb2a6895656e90982b8183d7c34cb8
锦标赛路径自身已高度分散：295次/237唯一教师，Hn=0.985，top1=1.4%	3	V35-FC5-MIDHORIZON-DIAGNOSTICS/26-final-runtime-jar-validation/A4-50k-ON-s20260901-121FBB49/telemetry-teacher-concentration.csv	44ab84643a20340163ecbeff8964f8b34467c4e284a070ecafad4ca83a473f48
集中路径为HISTORICAL top5=37.1%与PREVIOUS top5=27.9%，均在结构上不可注入的缓存路径	3	V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/06-preregistration-decision/CAL_PREREGISTRATION_REPORT.md	d597f713effec3117eaf925184a5a4a7cbfb2a6895656e90982b8183d7c34cb8
建议式count/totalCount归一化无杠杆：翻转中位差距需λ≈25.08（84倍于最大提议值）	3	V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/02-calibration-definition/TEACHER_EXPOSURE_FORMULA.md	1206b479971addcb3f8034fb842143dd913b9d759ff5d0617e9f4c54666e9d66
预登记固定scope=QG_ACTION2_TOURNAMENT_ONLY与先验λ网格{0,0.05,0.15,0.30}	1,3	V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/06-preregistration-decision/CAL_PREREGISTRATION.properties	7c59e93005aa946ebfaeaddc61eea494149a57b40a1bccc80691c1aba8d75222
阴性Race结局与"假设为假"不可区分：c0OnlySurvivorVerdict已预写NO_IMPROVING_CONFIGURATION	4	V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/06-preregistration-decision/CAL_PREREGISTRATION.properties	7c59e93005aa946ebfaeaddc61eea494149a57b40a1bccc80691c1aba8d75222
Race规模32条×250k=约8M FE，为F1+F2+F3预算（≤1.5M）5倍以上	5	V35-PFC5-TEACHER-EXPOSURE-CAL-PREREG/05-run-protocol/estimated-compute-cost.md	86ee3eccf51b3be1fe7181ab4eaebba60f5f078fbc1a996711469d025f09497e
F1=FAILURE_CLASS_REPRODUCED（上游裁决不变）	1	V35-PFC5-F1-FAILURE-REPLAY/06-f1-decision/F1_DECISION.md	deec80d532f74f7317a03c13cea59c8c185c0d4d0d111128db40ba31cb1280aa
F2=NOT_DEPLOYABLE_FIELDS_INSUFFICIENT（CFVF遥测缺失阻断），FC5=MECHANISM_UNRESOLVED，nextRoute=HYPOTHESIS_DRIVEN_TEACHER_EXPOSURE_CALIBRATION	1	V35-PFC5-F2-DEPLOYABILITY-AUDIT/01-decision/F2_DEPLOYABILITY_DECISION.properties	17c5586b7bec964a946524ff50752b48cbc64dbc68e164fc1985e866494a1281
F2审计正文（CFVF缺失实证与身份锚点声明）	1	V35-PFC5-F2-DEPLOYABILITY-AUDIT/01-decision/F2_DEPLOYABILITY_AUDIT.md	283e8e8bc4ae73b2c1cdb1fc6c9e6f73382bc5a0166ef8f904b127048acd304b
