instance,size,factories,stages,machines,workers,scale,in45Roster,historicalCampaigns,usedForDOE,usedForFC5,usedForParameterSelection,usedForAlgorithmDecision,usedForValidation,usedForFormal,currentRole,roleReason,sourcePaths,sourceHashes,futureAllowedUse
100_2_3_1,100,2,3,18,14,100x2x3,true,V35-A2-A3-CAUSAL-AUDIT;V35-DOE1-subgroup-mixture;V35-FC5-100JOB-TRANSFER;V35-ND-ARCHIVE;V35-P26,true,true,false,false,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/100_2_3_1.txt,4FB1FAD50B5C6F798580A37FF155EB9168932F1791C0262F37571D6CE91A39FA,development incl. Configuration Race; never Validation holdout
100_2_4_1,100,2,4,18,16,100x2x4,true,V35-A2-A4-MULTIINSTANCE-CONFIRMATION;V35-FC5-100JOB-TRANSFER;V35-FC5-MIDHORIZON-250K;V35-FC5-MIDHORIZON-DIAGNOSTICS,true,true,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/100_2_4_1.txt,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,development incl. Configuration Race; never Validation holdout
100_2_5_1,100,2,5,32,25,100x2x5,true,V35-A2-FINAL-CANDIDATE-CONFIRMATION;V35-FC5-100JOB-TRANSFER,false,true,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/100_2_5_1.txt,DB4CE471EC8FFA8F31149558F092327D6CBF1A06E0BB82D80E136C5F38FCCBA9,development incl. Configuration Race; never Validation holdout
100_5_3_1,100,5,3,54,42,100x5x3,true,V35-A2-A4-MULTIINSTANCE-CONFIRMATION;V35-FC5-100JOB-TRANSFER;V35-FC5-MIDHORIZON-250K;V35-FC5-MIDHORIZON-DIAGNOSTICS,true,true,false,true,false,false,CASE_SELECTED_DIAGNOSTIC_ONLY,historical failure case selected by frozen minimum-ID rule (00-preregistration/PHASE0_PREREGISTRATION.md); diagnostic use only,docs/evidence census + java-jmetal58/EADHFSP/100_5_3_1.txt,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,diagnosis only; never Race/Validation/Formal/Final/paper statistics
100_5_4_1,100,5,4,60,47,100x5x4,true,V35-DOE1-subgroup-mixture,true,false,false,false,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/100_5_4_1.txt,A71D5E6BA1E0FDF7FAE45B1336684C83FFB49D4CDFA45B39F046333235E22903,development incl. Configuration Race; never Validation holdout
100_5_5_1,100,5,5,70,55,100x5x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/100_5_5_1.txt,C9AC7CD32CE3C2CA6761A29B9C91A2498265FBFDE3986CB77CD27FF9E4BC6DDD,validation holdout only until user releases it
100_8_3_1,100,8,3,62,51,100x8x3,true,V35-A2-FINAL-CANDIDATE-CONFIRMATION;V35-FC5-100JOB-TRANSFER,false,true,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/100_8_3_1.txt,CF5A0BB2283612E9B0AA9B46ADAA491209F34CF20D9343EC9A1BC3A62A8C05D8,development incl. Configuration Race; never Validation holdout
100_8_4_1,100,8,4,89,72,100x8x4,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/100_8_4_1.txt,870F37B3CF1A85EAE338C526F1AB0099F62EF3A1D31DCA4B0627E0A0608C1B2E,validation holdout only until user releases it
100_8_5_1,100,8,5,134,108,100x8x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/100_8_5_1.txt,A7FB905C5EF9CFC43DBDA0D487099537489889D8DA189EB97C7C1EFD460F8D11,validation holdout only until user releases it
10_2_3_1,,,,,,,false,V35-P26,false,false,false,false,false,false,LEGACY_EXCLUDED,pilot/wiring-only instance outside the 45-instance formal roster,docs/evidence census + java-jmetal58/EADHFSP/10_2_3_1.txt,,excluded from V35 experiments
