runKey,arm,betaMax,instance,seed,population,maxFEs,observerMode,outputDir,remoteWorkDir
GAPL250K-C0-50_2_3_1-20260916,C0,0.65,50_2_3_1,20260916,100,250000,ON,results/run-GAPL250K-C0-50_2_3_1-20260916,seed-20260916
GAPL250K-C2-50_2_3_1-20260916,C2,0.45,50_2_3_1,20260916,100,250000,ON,results/run-GAPL250K-C2-50_2_3_1-20260916,seed-20260916
GAPL250K-C3-50_2_3_1-20260916,C3,0.35,50_2_3_1,20260916,100,250000,ON,results/run-GAPL250K-C3-50_2_3_1-20260916,seed-20260916
GAPL250K-C0-50_2_3_1-20260917,C0,0.65,50_2_3_1,20260917,100,250000,ON,results/run-GAPL250K-C0-50_2_3_1-20260917,seed-20260917
GAPL250K-C2-50_2_3_1-20260917,C2,0.45,50_2_3_1,20260917,100,250000,ON,results/run-GAPL250K-C2-50_2_3_1-20260917,seed-20260917
GAPL250K-C3-50_2_3_1-20260917,C3,0.35,50_2_3_1,20260917,100,250000,ON,results/run-GAPL250K-C3-50_2_3_1-20260917,seed-20260917
GAPL250K-C0-50_2_3_1-20260918,C0,0.65,50_2_3_1,20260918,100,250000,ON,results/run-GAPL250K-C0-50_2_3_1-20260918,seed-20260918
GAPL250K-C2-50_2_3_1-20260918,C2,0.45,50_2_3_1,20260918,100,250000,ON,results/run-GAPL250K-C2-50_2_3_1-20260918,seed-20260918
GAPL250K-C3-50_2_3_1-20260918,C3,0.35,50_2_3_1,20260918,100,250000,ON,results/run-GAPL250K-C3-50_2_3_1-20260918,seed-20260918
GAPL250K-C0-100_5_3_1-20260916,C0,0.65,100_5_3_1,20260916,100,250000,ON,results/run-GAPL250K-C0-100_5_3_1-20260916,seed-20260916
GAPL250K-C2-100_5_3_1-20260916,C2,0.45,100_5_3_1,20260916,100,250000,ON,results/run-GAPL250K-C2-100_5_3_1-20260916,seed-20260916
GAPL250K-C3-100_5_3_1-20260916,C3,0.35,100_5_3_1,20260916,100,250000,ON,results/run-GAPL250K-C3-100_5_3_1-20260916,seed-20260916
GAPL250K-C0-100_5_3_1-20260917,C0,0.65,100_5_3_1,20260917,100,250000,ON,results/run-GAPL250K-C0-100_5_3_1-20260917,seed-20260917
GAPL250K-C2-100_5_3_1-20260917,C2,0.45,100_5_3_1,20260917,100,250000,ON,results/run-GAPL250K-C2-100_5_3_1-20260917,seed-20260917
GAPL250K-C3-100_5_3_1-20260917,C3,0.35,100_5_3_1,20260917,100,250000,ON,results/run-GAPL250K-C3-100_5_3_1-20260917,seed-20260917
GAPL250K-C0-100_5_3_1-20260918,C0,0.65,100_5_3_1,20260918,100,250000,ON,results/run-GAPL250K-C0-100_5_3_1-20260918,seed-20260918
GAPL250K-C2-100_5_3_1-20260918,C2,0.45,100_5_3_1,20260918,100,250000,ON,results/run-GAPL250K-C2-100_5_3_1-20260918,seed-20260918
GAPL250K-C3-100_5_3_1-20260918,C3,0.35,100_5_3_1,20260918,100,250000,ON,results/run-GAPL250K-C3-100_5_3_1-20260918,seed-20260918
