algorithm,canonicalParameters
ZHANGBO_A4,"Table9FormalHmopsoQgs;population=100;QTimes=50;LSTimes=30"
HMOPSO_QGS_F,"Table9FormalHmopsoQgs;population=100;QTimes=50;LSTimes=30"
HMOPSO_QLS_F,"pop=100;group=M2;r=0.5;lv1=-;lv2=0.2;lv3=0.5;lv4=0.4;mv1=-;mv2=0.08;mv3=0.15;mv4=0.15;Q=50;LS=40;gamma=0.9;epsilon=0.8"
MOPSO_F,"pop=100;r=0.5;lv1=-;lv2=0.3;lv3=0.3;lv4=0.4;mv1=-;mv2=0.06;mv3=0.2;mv4=0.2"
MOPSODS_DE_F,"pop=100;group=M3;r=0.4;lv1=0.5;lv2=0.2;lv3=0.4;lv4=0.3;mv1=0.4;mv2=0.06;mv3=0.15;mv4=0.2;DE=0.8"
MOHEADE_F,"pop=100;elite=100;lv1=0.5;lv2=0.3;lv3=0.5;lv4=0.4;mv1=0.4;mv2=0.08;mv3=0.2;mv4=0.2;DE=0.8"
NSGA_II_F,"pop=100;elite=100;lv1=0.4;lv2=0.3;lv3=0.3;lv4=0.4;mv1=0.3;mv2=0.04;mv3=0.15;mv4=0.15"
SPEA2_F,"pop=100;elite=100;lv1=0.5;lv2=0.2;lv3=0.3;lv4=0.3;mv1=0.3;mv2=0.04;mv3=0.1;mv4=0.15"
ZHANGBO_A4,"Table9FormalHmopsoQgs;population=100;QTimes=50;LSTimes=30"
HMOPSO_QGS_F,"Table9FormalHmopsoQgs;population=100;QTimes=50;LSTimes=30"
HMOPSO_QLS_F,"pop=100;group=M2;r=0.5;lv1=-;lv2=0.2;lv3=0.5;lv4=0.4;mv1=-;mv2=0.08;mv3=0.15;mv4=0.15;Q=50;LS=40;gamma=0.9;epsilon=0.8"
MOPSO_F,"pop=100;r=0.5;lv1=-;lv2=0.3;lv3=0.3;lv4=0.4;mv1=-;mv2=0.06;mv3=0.2;mv4=0.2"
MOPSODS_DE_F,"pop=100;group=M3;r=0.4;lv1=0.5;lv2=0.2;lv3=0.4;lv4=0.3;mv1=0.4;mv2=0.06;mv3=0.15;mv4=0.2;DE=0.8"
MOHEADE_F,"pop=100;elite=100;lv1=0.5;lv2=0.3;lv3=0.5;lv4=0.4;mv1=0.4;mv2=0.08;mv3=0.2;mv4=0.2;DE=0.8"
NSGA_II_F,"pop=100;elite=100;lv1=0.4;lv2=0.3;lv3=0.3;lv4=0.4;mv1=0.3;mv2=0.04;mv3=0.15;mv4=0.15"
SPEA2_F,"pop=100;elite=100;lv1=0.5;lv2=0.2;lv3=0.3;lv4=0.3;mv1=0.3;mv2=0.04;mv3=0.1;mv4=0.15"
ZHANGBO_A4,"Table9FormalHmopsoQgs;population=100;QTimes=50;LSTimes=30"
HMOPSO_QGS_F,"Table9FormalHmopsoQgs;population=100;QTimes=50;LSTimes=30"
HMOPSO_QLS_F,"pop=100;group=M2;r=0.5;lv1=-;lv2=0.2;lv3=0.5;lv4=0.4;mv1=-;mv2=0.08;mv3=0.15;mv4=0.15;Q=50;LS=40;gamma=0.9;epsilon=0.8"
MOPSO_F,"pop=100;r=0.5;lv1=-;lv2=0.3;lv3=0.3;lv4=0.4;mv1=-;mv2=0.06;mv3=0.2;mv4=0.2"
MOPSODS_DE_F,"pop=100;group=M3;r=0.4;lv1=0.5;lv2=0.2;lv3=0.4;lv4=0.3;mv1=0.4;mv2=0.06;mv3=0.15;mv4=0.2;DE=0.8"
MOHEADE_F,"pop=100;elite=100;lv1=0.5;lv2=0.3;lv3=0.5;lv4=0.4;mv1=0.4;mv2=0.08;mv3=0.2;mv4=0.2;DE=0.8"
NSGA_II_F,"pop=100;elite=100;lv1=0.4;lv2=0.3;lv3=0.3;lv4=0.4;mv1=0.3;mv2=0.04;mv3=0.15;mv4=0.15"
SPEA2_F,"pop=100;elite=100;lv1=0.5;lv2=0.2;lv3=0.3;lv4=0.3;mv1=0.3;mv2=0.04;mv3=0.1;mv4=0.15"
ZHANGBO_A4,"Table9FormalHmopsoQgs;population=100;QTimes=50;LSTimes=30"
