artifact,value,role
formalJarSha256,8dad8f40266feeaa4cdb9b47dbe4e342d9064847df32c7f2933149b9b6bad8b9,frozen formal algorithm jar (read-only)
experimentalJarSha256,a0788580684cff71ecc526e0f23d6e186dcd9131aad98776c25419378dc7331c,experimental runner jar (12 classes major=52)
instanceSha256-50_2_3_1,d08d6abc46788d46bc24c135a8dc810b4675e333e3d61e65c7551835fc93e787,instance input
setupFileSha256-50_2_3_1,f9bde51a5f873896291527676bcbfaf8291c72b91175a6828dd722eaa54df54,sequence-independent SUT extension
fatigueFileSha256-50_2_3_1,46192fe26bfc79201456c98d70d9acc25e40dd84cdd86b050af1718e3715b4da,fatigue parameters v1
instanceSha256-100_5_3_1,2e88fa97a6f84af347a4603f04c387a65c8f9891bcab8ac6b70fdec622ea35cf,instance input
setupFileSha256-100_5_3_1,4b49b780f6ee887099574f9008bebdc106e9cf5808a11b5af97a5ee4512c1d90,sequence-independent SUT extension
fatigueFileSha256-100_5_3_1,cf611bfb3690d50f1b4dc8d6d6631dd9d04546d3ca4c4020cc9017475d4bf457,fatigue parameters v1
snapshot-50_2_3_1-20260907,79d1de2a1217f2632e0cc45cad1502c89390d5da8ea83527fe86e72d1190c187,four-vector initial population (registered at 20k)
snapshot-100_5_3_1-20260907,57ecc78628495c864abbe1d149d7b2e936a2e1d439d16b068de03e3c64dafec1,four-vector initial population (registered at 20k)
snapshot-50_2_3_1-20260914,5722f3d5319ea31834b0b2f241668193318b23502444b899f3a8f861466df6db,four-vector initial population (materialized 2026-08-31)
snapshot-100_5_3_1-20260914,26e0258a4f406101f622336453fe99f3f0ec8575a24d52ee0e689656679cc3e6,four-vector initial population (materialized 2026-08-31)
initialV35-50_2_3_1-20260914,f80de22c4c983ccb9537579ca0b80343f535a65b57f883d7e0d52b3950a6e771,initial population hash V35
initialP8-50_2_3_1-20260914,f667bae4094285119441c2553704d0cd68519f9c9474e271039758daad081080,initial population hash P8
initialV35-100_5_3_1-20260914,a20e8294afe260e98dbb647ae5d996d67dc402d2511e5d59ff0dd9e59b02ee0b,initial population hash V35
initialP8-100_5_3_1-20260914,257eae2154113cfbf89c9548eef3a86f24b4a9c4ed3d0dd28ed46037b10fb9a7,initial population hash P8
initialV35-50_2_3_1-20260907,7a224435ec551101021d71ab3d1bf3a9b94d99fa59a22ecc555ed16a8470e614,initial population hash V35 (from 20k binding)
initialP8-50_2_3_1-20260907,f1549b566662097859c2ca91a73827f51667f3bd420f69008cbba9568169986a,initial population hash P8 (from 20k binding)
initialV35-100_5_3_1-20260907,91d71b10590cb207b55577d878cbf650eb8a607751a79475ab406c01fd540fdd,initial population hash V35 (from 20k binding)
initialP8-100_5_3_1-20260907,d087dc9abc94c6e387249d2a61095aa01b4d6dd3109d1d298f5de9b4c70efc4f,initial population hash P8 (from 20k binding)
profileHashUniquenessPerSeed,C0=d7e71435..,C1=10cd2c82..,C2=ddabb7b4..,C3=e2c915fd.. (verified at local 2k; 50k values differ by maxFEs term),four profile canonical texts unique within a seed
