matrix,label,mechanism,reason
"FV","FV1","FA-only leader update","Current production path does not expose this ablation dimension independently"
"FV","FV2","independent FA/MA/WA","Current production path does not expose this ablation dimension independently"
"FV","FV3","FMW coupling","Current production path does not expose this ablation dimension independently"
"FV","FV4","without resource inertia","Current production path does not expose this ablation dimension independently"
"FV","FV5","without legal exploration","Current production path does not expose this ablation dimension independently"
"FM","FM1","fatigue accumulation only","Current production path does not expose this ablation dimension independently"
"FM","FM2","accumulation plus natural recovery","Current production path does not expose this ablation dimension independently"
"QP","QP1","archive plus fixed direction pbest","Current production path does not expose this ablation dimension independently"
"QP","QP2","archive plus four random strategies","Current production path does not expose this ablation dimension independently"
"QP","QP3","archive plus Q-pbest","Current production path does not expose this ablation dimension independently"
"QP","QP4","QP3 plus synchronous Qg","Current production path does not expose this ablation dimension independently"
"QP","QP5","QP3 plus block-frozen Qg/Qp","Current production path does not expose this ablation dimension independently"
"VNS","V1","original nine plus O10-O13","Current production path does not expose this ablation dimension independently"
"VNS","V2","plus need-aware factory selection","Current production path does not expose this ablation dimension independently"
"VNS","V3","plus context-free Test-and-Apply","Current production path does not expose this ablation dimension independently"
"VNS","V4","plus context","Current production path does not expose this ablation dimension independently"
"VNS","V5","plus cost credit","Current production path does not expose this ablation dimension independently"
"FULL","B6","B5 plus O10-O13","Current production path does not expose this ablation dimension independently"
