run,verifiedFiles,mismatchCount,extraCount,allMatch,mismatches
1,36,0,0,true,
2,36,0,0,true,
3,36,0,0,true,
4,36,0,0,true,
5,36,0,0,true,
6,36,0,0,true,
7,36,0,0,true,
8,36,0,0,true,
9,36,0,0,true,
10,36,0,0,true,
11,36,0,0,true,
12,36,0,0,true,
13,36,0,0,true,
14,36,0,0,true,
15,36,0,0,true,
16,36,0,0,true,
17,36,0,0,true,
18,36,0,0,true,
19,36,0,0,true,
20,36,0,0,true,
21,36,0,0,true,
22,36,0,0,true,
23,36,0,0,true,
24,36,0,0,true,
25,36,0,0,true,
26,36,0,0,true,
27,36,0,0,true,
28,36,0,0,true,
29,36,0,0,true,
30,36,0,0,true,
31,36,0,0,true,
32,36,0,0,true,
33,36,0,0,true,
34,36,0,0,true,
35,36,0,0,true,
36,36,0,0,true,
37,36,0,0,true,
38,36,0,0,true,
39,36,0,0,true,
40,36,0,0,true,
41,36,0,0,true,
42,36,0,0,true,
43,36,0,0,true,
44,36,0,0,true,
45,36,0,0,true,
46,36,0,0,true,
47,36,0,0,true,
48,36,0,0,true,
49,36,0,0,true,
50,36,0,0,true,
51,36,0,0,true,
52,36,0,0,true,
53,36,0,0,true,
54,36,0,0,true,
55,36,0,0,true,
56,36,0,0,true,
57,36,0,0,true,
58,36,0,0,true,
59,36,0,0,true,
60,36,0,0,true,
61,36,0,0,true,
62,36,0,0,true,
63,36,0,0,true,
64,36,0,0,true,
65,36,0,0,true,
66,36,0,0,true,
67,36,0,0,true,
68,36,0,0,true,
69,36,0,0,true,
70,36,0,0,true,
71,36,0,0,true,
72,36,0,0,true,
73,36,0,0,true,
74,36,0,0,true,
75,36,0,0,true,
76,36,0,0,true,
77,36,0,0,true,
78,36,0,0,true,
79,36,0,0,true,
80,36,0,0,true,
81,36,0,0,true,
82,36,0,0,true,
83,36,0,0,true,
84,36,0,0,true,
85,36,0,0,true,
86,36,0,0,true,
87,36,0,0,true,
88,36,0,0,true,
89,36,0,0,true,
90,36,0,0,true,
91,36,0,0,true,
92,36,0,0,true,
93,36,0,0,true,
94,36,0,0,true,
95,36,0,0,true,
96,36,0,0,true,
97,36,0,0,true,
98,36,0,0,true,
99,36,0,0,true,
100,36,0,0,true,
