fromLabel,toLabel,intendedChange,actualDifferenceKeys
"B0","B1","fatigue decoder","[decoderMode]"
"FM0","FM1","fatigue accumulation and duration feedback","[decoderMode]"
"FM1","FM2","natural recovery","[decoderMode]"
"FM2","FM3","fatigue-aware worker selection","[decoderMode]"
"B1","B2","CFVF bundle","[resourceFlightMode, resourceInertia, legalExploration]"
"B2","B3","lineage archive","[lineageArchive]"
"B3","B4","Q-pbest","[personalLeaderMode]"
"B4","B5","block-frozen dual Q","[blockFrozenDualQ]"
"B5","B6","fixed O1-O13","[vnsMode]"
"B6","B7","contextual Test-and-Apply without FAT","[vnsMode]"
"B7","FULL","FAT bottleneck context","[vnsMode]"
"FV0","FV1","FA leader update","[resourceFlightMode]"
"FV1","FV2","independent MA/WA flight","[resourceFlightMode]"
"FV2","FV3","coupled FMW/MW/M/W actions","[resourceFlightMode]"
"FV3","FV4","remove resource inertia","[resourceInertia]"
"FV3","FV5","remove legal exploration","[legalExploration]"
"QP0","QP1","lineage archive directional pbest","[lineageArchive, personalLeaderMode]"
"QP1","QP2","four-policy random pbest","[personalLeaderMode]"
"QP2","QP3","Q-pbest","[personalLeaderMode]"
"QP3","QP4","synchronous Q-gbest","[qg]"
"QP4","QP5","block freezing","[blockFrozenDualQ]"
"QP5","QP6","complete CFVF","[resourceFlightMode, resourceInertia, legalExploration]"
"V0","V1","O10-O13","[vnsMode]"
"V1","V2","Need-aware factory selection","[vnsMode]"
"V2","V3","context-free Test-and-Apply","[vnsMode]"
"V3","V4","context","[vnsMode]"
"V4","V5","cost credit","[vnsMode]"
"V5","V-Full","FAT context","[vnsMode]"
