wave,runKey,arm,instance,seed,population,maxFEs,purpose,status
GAPL-20K,C0-50_2_3_1-20260907,betaMax=0.65 (exact current),50_2_3_1,20260907,100,20000,mechanism gate + C0 exact equivalence,PROPOSED_NOT_LAUNCHED
GAPL-20K,C1-50_2_3_1-20260907,betaMax=0.55,50_2_3_1,20260907,100,20000,mechanism gate,PROPOSED_NOT_LAUNCHED
GAPL-20K,C2-50_2_3_1-20260907,betaMax=0.45,50_2_3_1,20260907,100,20000,mechanism gate,PROPOSED_NOT_LAUNCHED
GAPL-20K,C3-50_2_3_1-20260907,betaMax=0.35,50_2_3_1,20260907,100,20000,mechanism gate,PROPOSED_NOT_LAUNCHED
GAPL-20K,C0-100_5_3_1-20260907,betaMax=0.65 (exact current),100_5_3_1,20260907,100,20000,mechanism gate,PROPOSED_NOT_LAUNCHED
GAPL-20K,C1-100_5_3_1-20260907,betaMax=0.55,100_5_3_1,20260907,100,20000,mechanism gate,PROPOSED_NOT_LAUNCHED
GAPL-20K,C2-100_5_3_1-20260907,betaMax=0.45,100_5_3_1,20260907,100,20000,mechanism gate,PROPOSED_NOT_LAUNCHED
GAPL-20K,C3-100_5_3_1-20260907,betaMax=0.35,100_5_3_1,20260907,100,20000,mechanism gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C0-50_2_3_1-20260907,betaMax=0.65,50_2_3_1,20260907,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C1-50_2_3_1-20260907,betaMax=0.55,50_2_3_1,20260907,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C2-50_2_3_1-20260907,betaMax=0.45,50_2_3_1,20260907,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C3-50_2_3_1-20260907,betaMax=0.35,50_2_3_1,20260907,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C0-50_2_3_1-20260914,betaMax=0.65,50_2_3_1,20260914,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C1-50_2_3_1-20260914,betaMax=0.55,50_2_3_1,20260914,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C2-50_2_3_1-20260914,betaMax=0.45,50_2_3_1,20260914,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C3-50_2_3_1-20260914,betaMax=0.35,50_2_3_1,20260914,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C0-100_5_3_1-20260907,betaMax=0.65,100_5_3_1,20260907,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C1-100_5_3_1-20260907,betaMax=0.55,100_5_3_1,20260907,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C2-100_5_3_1-20260907,betaMax=0.45,100_5_3_1,20260907,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C3-100_5_3_1-20260907,betaMax=0.35,100_5_3_1,20260907,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C0-100_5_3_1-20260914,betaMax=0.65,100_5_3_1,20260914,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C1-100_5_3_1-20260914,betaMax=0.55,100_5_3_1,20260914,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C2-100_5_3_1-20260914,betaMax=0.45,100_5_3_1,20260914,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-50K,C3-100_5_3_1-20260914,betaMax=0.35,100_5_3_1,20260914,100,50000,development gate,PROPOSED_NOT_LAUNCHED
GAPL-250K,C0-C3 x 2 instances x 2 seeds,betaMax=0.65/0.55/0.45/0.35,50_2_3_1;100_5_3_1,20260907;20260914,100,250000,development final,CONDITIONAL_ONLY_AFTER_50K_GATES
