campaignId,stage,semanticVersion,status,paperUseClass,referenceEligible,localPath,remotePath,supersededBy,retentionClass
P1_SOURCE_FREEZE,P1,author-source-freeze,COMPLETED,MAIN_METHOD_EVIDENCE,false,docs/evidence/P1,,CURRENT,KEEP
P2_FOUR_VECTOR,P2,four-vector-v1,COMPLETED,MAIN_METHOD_EVIDENCE,false,docs/evidence/P2,,CURRENT,KEEP
P3_PAPER_DECODER,P3,paper-verification-baseline,COMPLETED,MAIN_METHOD_EVIDENCE,false,docs/evidence/P3,,CURRENT,KEEP
P4_AUTHOR_DERIVATION,P4-P4.1,author-diagnostic,COMPLETED,REPRODUCIBILITY_ONLY,false,docs/evidence/P4.1,,CURRENT,KEEP
P5_FATIGUE,P5-P5.1,fm0-fm3-v1,COMPLETED,MAIN_METHOD_EVIDENCE,false,docs/evidence/P5,,CURRENT,KEEP
P6_DUALQ,P6.0-P6.5,subswarm-semantic-v2,COMPLETED,MAIN_METHOD_EVIDENCE,false,docs/evidence/P6.5,,CURRENT,KEEP
P7_LEGACY_VNS,P7.1-P7.2,legacy-o1-o13-cata,COMPLETED,LEGACY_EXCLUDED,false,docs/evidence/P7.2,,V35_CATA_LITE,ARCHIVE_THIN
P8_LEGACY_ABLATION,P8,legacy-pre-canonical,ARCHIVED,LEGACY_EXCLUDED,false,docs/evidence/P8,,V35_MAINLINE,ARCHIVE_THIN
P8_CANONICAL,P8.1-P8.3,canonical-fatigue-cata-v2,COMPLETED,REPRODUCIBILITY_ONLY,false,docs/evidence/P8.3,,V35_MAINLINE,KEEP
P8_SHIFT,P8.4-P8.6,fatigue-shift-v2-common-gap,ARCHIVED,LEGACY_EXCLUDED,false,docs/evidence/P8.6,/home/inspur/aicomp/zhangbo-p86-pair-100k-20260811,SHIFT_NONE,ARCHIVE_THIN
I0_V35,Example,fm3-shift-none,COMPLETED,MAIN_METHOD_EVIDENCE,false,paper_evidence/I0-v35,,CURRENT,KEEP
I1_GOLDEN,Example,i1-engineering-golden,COMPLETED,MAIN_METHOD_EVIDENCE,false,paper_evidence/I1,,CURRENT,KEEP
P9_LEGACY,P9,legacy-shift-on,ARCHIVED,LEGACY_EXCLUDED,false,docs/evidence/P9-single-500k-20260810,/home/inspur/aicomp/zhangbo-java-p9-single-500k-20260810,V35_MAINLINE,ARCHIVE_THIN
V35_ENGINEERING,V35-P0-P19,v35-deterministic-cata,COMPLETED,REPRODUCIBILITY_ONLY,false,docs/evidence/V35-P19,,CURRENT,KEEP
V35_P21_ABLATION,V35-P21,v35-ablation-ladder,COMPLETED,PILOT_DIAGNOSTIC,false,docs/evidence/V35-P21,,CURRENT,KEEP
V35_P22_PILOT,V35-P22,v35-multi-instance-pilot,COMPLETED,REPRODUCIBILITY_ONLY,false,docs/evidence/V35-P22,,CURRENT,KEEP
V35_P23_EXACT,V35-P23,v35-exact-front,COMPLETED,REPRODUCIBILITY_ONLY,false,docs/evidence/V35-P23,,CURRENT,KEEP
