targetId,host,path,reason,requiredArchive,plannedAction,status
LOCAL_SANDBOX_1,local,E:/学习/李明哲-毕业材料/_isolated-v35-final-doe1-regression-sandbox-20260823,Regression sandbox duplicate,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-sandboxes\_isolated-v35-final-doe1-regression-sandbox-20260823.tar.gz,DELETED_AFTER_VERIFIED_ARCHIVE,COMPLETED_RECOVERABLE
LOCAL_SANDBOX_BYTE,local,E:/学习/李明哲-毕业材料/_isolated-v35-final-doe1-regression-sandbox-byte-20260823,Regression sandbox duplicate,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-sandboxes\_isolated-v35-final-doe1-regression-sandbox-byte-20260823.tar.gz,DELETED_AFTER_VERIFIED_ARCHIVE,COMPLETED_RECOVERABLE
LOCAL_SANDBOX_LF,local,E:/学习/李明哲-毕业材料/_isolated-v35-final-doe1-regression-sandbox-lf-20260823,Regression sandbox duplicate,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-sandboxes\_isolated-v35-final-doe1-regression-sandbox-lf-20260823.tar.gz,DELETED_AFTER_VERIFIED_ARCHIVE,COMPLETED_RECOVERABLE
DOE1_EXTRACTED,local,D:/CodexTemp/V35-DOE1-Acceptance/extracted,Expanded copy with existing tar archive,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-primary\development-runs-20260822.tar.gz,DELETED_AFTER_VERIFIED_ARCHIVE,COMPLETED_RECOVERABLE
REMOTE_PHASE_V1,remote,/home/inspur/aicomp/zhangbo-v35-stage2-phasebudget-20260823,Superseded by r3,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-stage2-phasebudget-20260823.tar.gz,DELETED_AFTER_REMOTE_AND_G_ARCHIVE_VERIFICATION,COMPLETED_RECOVERABLE
REMOTE_PHASE_R2,remote,/home/inspur/aicomp/zhangbo-v35-stage2-phasebudget-20260823-r2,Superseded by r3,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-stage2-phasebudget-20260823-r2.tar.gz,DELETED_AFTER_REMOTE_AND_G_ARCHIVE_VERIFICATION,COMPLETED_RECOVERABLE
REMOTE_FC6A1,remote,/home/inspur/aicomp/zhangbo-fc6a1-20260819,BP-polluted rejected batch,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6a1-20260819.tar.gz,DELETED_AFTER_REMOTE_AND_G_ARCHIVE_VERIFICATION,COMPLETED_RECOVERABLE
REMOTE_FC6B_V1,remote,/home/inspur/aicomp/zhangbo-fc6b-region-20260820,Superseded by r3,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6b-region-20260820.tar.gz,DELETED_AFTER_REMOTE_AND_G_ARCHIVE_VERIFICATION,COMPLETED_RECOVERABLE
REMOTE_FC6B_R1,remote,/home/inspur/aicomp/zhangbo-fc6b-region-20260820-r1,Superseded by r3,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6b-region-20260820-r1.tar.gz,DELETED_AFTER_REMOTE_AND_G_ARCHIVE_VERIFICATION,COMPLETED_RECOVERABLE
REMOTE_FC6B_R2,remote,/home/inspur/aicomp/zhangbo-fc6b-region-20260820-r2,Superseded by r3,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6b-region-20260820-r2.tar.gz,DELETED_AFTER_REMOTE_AND_G_ARCHIVE_VERIFICATION,COMPLETED_RECOVERABLE
REMOTE_P25D,remote,/home/inspur/aicomp/zhangbo-v35-p25d-8alg-50k-20260815,Invalid enhanced comparator,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-p25d-8alg-50k-20260815.tar.gz,DELETED_AFTER_REMOTE_AND_G_ARCHIVE_VERIFICATION,COMPLETED_RECOVERABLE
REMOTE_DOE1_DEV,remote,/home/inspur/aicomp/zhangbo-v35-doe1-20260820,Large accepted expanded data,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-doe1-20260820.tar.gz,DELETED_AFTER_REMOTE_AND_G_ARCHIVE_VERIFICATION,COMPLETED_RECOVERABLE
REMOTE_DOE1_CONFIRM,remote,/home/inspur/aicomp/zhangbo-v35-doe1-heldout-20260822,Large accepted expanded data,G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-doe1-heldout-20260822.tar.gz,DELETED_AFTER_REMOTE_AND_G_ARCHIVE_VERIFICATION,COMPLETED_RECOVERABLE
