generatedByRunId,sourceJarSha256,configurationHash,instanceHash,seed,arm,telemetryMode,nominalCheckpointFE,actualSnapshotFE,overshootFE,generation,formalOuterCycle,qRound,frontType,unobservableReason,solutionFingerprint,Cmax,TEC,TWC,atomicBoundary
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,0fd82fea20fb303ab5f1addf1172d4fdd001f0cefee327f2ba86a76afe6b2379,661.5327506152651,51125.73268323204,89507.80849370257,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,76870a2a8aaf01e48cf7087c78bfbaf6e97aab92d53df7fe6beac992fa83303c,665.6580369300841,50352.995571225794,88684.32527654065,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,9a82050dfb05ca927d59101255a45a55a4955fe7749d3daf718b43a1986e2e47,693.692518565869,49010.398968850175,92774.61142782579,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,16f1c1531010be7a114a138faee2378a0e52842affa918f9b2befccadbdd44fc,709.2884840268582,48863.77053292738,86316.68883738984,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,b238e4b97141e08bc8115f409b754f0a2d62bdd41a2c791ed7466182a40d9a01,713.8636843197111,47712.144525134114,88040.2775880338,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,e78b16399b5e1604f19d0416d487bc2a55d45a261858aa65a0dd0592e0e6a6e8,725.3194592424437,49624.52283140433,83340.81772044019,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,3cc6eeebd20a6569d3e30bc861ae040eb89bab87569fa7226be8711f8fa0e5aa,745.990822831428,48915.6396060572,85443.13099904286,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,40982e14802f6c3ed29402bb1581ba2c1210fff7caabcd663c261aeb9ee4fde1,750.4125770067313,47146.296183131904,91289.8601435244,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,b78e75ea7d75523707fbf5e34a208cee3a15aadbfdacd86268cfe0809901ddf6,754.23408971902,47451.960198946734,87551.87227782462,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A2-20k-100_2_4_1-ON-v1,27684CE3CC3849711712536BE645E2039C413615C19A1C463F5330C6FD43F405,cd394095fbc834272dbc460ff00185993e0a0a08187e861145756e2c3f9076c5,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,ON,5000,5000,0,1,1,48,workingPopulationND,NONE,425a14696e3c98b985a2c9500feebad82ae0ff8febd98908c1081e8fe2b1e7d5,787.993846677979,47145.5719244015,87532.86113530323,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
