factory,stageOrdinal,job,machine,candidateWorker,predecessorCompletion,machineAvailableBefore,workerAvailableBefore,start,recoveryDuration,fatigueBeforeRecovery,fatigueAtStart,ST,SUT,machineSpeed,workerEfficiency,baseProcessing,baseSetup,baseAT,fatigueMultiplier,actualAT,candidateEnd,selected
1,1,3,1,3,10,0,0,10,0,0,0,5,1,1,1,5,1,6,1,6,16,false
1,1,3,1,4,10,0,0,10,0,0,0,5,1,1,1.2,4.166666666666667,0.83333333333333337,5,1,5,15,true
1,2,4,2,3,18,0,0,18,0,0,0,9,2,1.25,1,7.2000000000000002,2,9.1999999999999993,1,9.1999999999999993,27.199999999999999,false
1,2,4,2,4,18,0,15,18,3,0.10416586470347174,0.089656390621491514,9,2,1.25,1.2,6,1.6666666666666667,7.666666666666667,1.037161981317658,7.9515751901020444,25.951575190102044,true
1,3,5,1,3,23.360506753953242,15,0,23.360506753953242,0,0,0,7,1,1,1,7,1,8,1,8,31.360506753953242,true
1,3,5,1,4,23.360506753953242,15,25.951575190102044,25.951575190102044,0,0.23575572725951838,0.23575572725951838,7,1,1,1.2,5.8333333333333339,0.83333333333333337,6.666666666666667,1.0916180778514,7.2774538523426671,33.229029042444708,false
2,1,1,1,3,12,0,0,12,0,0,0,6,1,1.1000000000000001,1,5.4545454545454541,1,6.4545454545454541,1,6.4545454545454541,18.454545454545453,false
2,1,1,1,4,12,0,0,12,0,0,0,6,1,1.1000000000000001,1.1499999999999999,4.7430830039525693,0.86956521739130443,5.612648221343874,1,5.612648221343874,17.612648221343875,true
2,2,2,2,3,19.609284913500886,0,0,19.609284913500886,0,0,0,8,2,1.25,1,6.4000000000000004,2,8.4000000000000004,1,8.4000000000000004,28.009284913500885,false
2,2,2,2,4,19.609284913500886,0,17.612648221343875,19.609284913500886,1.9966366921570113,0.12110593754654357,0.10959961315073387,8,2,1.25,1.1499999999999999,5.5652173913043477,1.7391304347826089,7.304347826086957,1.0450117569385144,7.6331293550291495,27.242414268530034,true
