sequence,job,stage,factory,machine,worker,predecessorCompletion,machineAvailableBefore,workerAvailableBefore,start,recoveryDuration,fatigueBeforeRecovery,fatigueAtStart,ST,SUT,machineSpeed,machinePower,workerEfficiency,workerCost,lambda,muCurrentStage,recoveryMu,r,delta,baseProcessing,baseSetup,baseAT,fatigueMultiplier,actualProcessing,actualSetup,actualAT,end,fatigueAfter,machineIdle,energy,cost,safeThresholdExceeded
1,3,1,1,1,1,0,0,0,0,0,0,0,8,2,1,6,1,10,0.02,0.050000000000000003,0.050000000000000003,0.29999999999999999,21.64042561333445,8,2,10,1,8,2,10,10,0.18126924692201815,0,60,100,false
2,4,1,1,1,2,0,10,0,10,0,0,0,7,1,1,6,1,11,0.025000000000000001,0.040000000000000001,0.040000000000000001,0.29999999999999999,17.312340490667562,7,1,8,1,7,1,8,18,0.18126924692201815,0,48,88,false
3,5,1,1,2,2,0,0,18,18,0,0.18126924692201815,0.18126924692201815,5,1,1.25,8,1,11,0.025000000000000001,0.040000000000000001,0.040000000000000001,0.29999999999999999,17.312340490667562,4,1,5,1.0721013507906485,4.288405403162594,1.0721013507906485,5.3605067539532421,23.360506753953242,0.28395528929245051,0,42.884054031625936,58.965574293485659,false
4,3,2,1,1,4,10,0,0,10,0,0,0,5,1,1,7,1.2,12,0.021999999999999999,0.050000000000000003,0.050000000000000003,0.29999999999999999,19.67311419394041,4.166666666666667,0.83333333333333337,5,1,4.166666666666667,0.83333333333333337,5,15,0.10416586470347174,0,35,60,false
5,4,2,1,2,4,18,0,15,18,3,0.10416586470347174,0.089656390621491514,9,2,1.25,9,1.2,12,0.021999999999999999,0.050000000000000003,0.050000000000000003,0.29999999999999999,19.67311419394041,6,1.6666666666666667,7.666666666666667,1.037161981317658,6.2229718879059481,1.7286033021960967,7.9515751901020444,25.951575190102044,0.23575572725951838,0,71.564176710918403,95.418902281224533,false
6,5,2,1,1,3,23.360506753953242,15,0,23.360506753953242,0,0,0,7,1,1,7,1,10,0.017999999999999999,0.059999999999999998,0.059999999999999998,0.29999999999999999,24.044917348149394,7,1,8,1,7,1,8,31.360506753953242,0.13411225194079499,8.3605067539532421,64.360506753953246,163.60506753953243,false
7,1,1,2,1,1,0,0,0,0,0,0,0,10,2,1,6,1,10,0.021000000000000001,0.050000000000000003,0.050000000000000003,0.29999999999999999,20.609929155556618,10,2,12,1,10,2,12,12,0.22275526193105386,0,72,120,false
8,2,1,2,1,1,0,12,12,12,0,0.22275526193105386,0.22275526193105386,6,1,1,6,1,10,0.021000000000000001,0.050000000000000003,0.050000000000000003,0.29999999999999999,20.609929155556618,6,1,7,1.0870407019286981,6.5222442115721879,1.0870407019286981,7.6092849135008862,19.609284913500886,0.33753992241299968,0,45.655709481005317,76.092849135008862,false
9,1,2,2,1,4,12,0,0,12,0,0,0,6,1,1.1000000000000001,7,1.1499999999999999,12,0.023,0.050000000000000003,0.050000000000000003,0.29999999999999999,18.817761402899524,4.7430830039525693,0.86956521739130443,5.612648221343874,1,4.7430830039525693,0.86956521739130443,5.612648221343874,17.612648221343875,0.12110593754654357,0,39.288537549407117,67.351778656126484,false
10,2,2,2,2,4,19.609284913500886,0,17.612648221343875,19.609284913500886,1.9966366921570113,0.12110593754654357,0.10959961315073387,8,2,1.25,8,1.1499999999999999,12,0.023,0.050000000000000003,0.050000000000000003,0.29999999999999999,18.817761402899524,5.5652173913043477,1.7391304347826089,7.304347826086957,1.0450117569385144,5.8157176038317324,1.8174117511974166,7.6331293550291495,27.242414268530034,0.25296707589965572,0,61.065034840233196,91.597552260349801,false
