criterion,statement,verdict,positiveValue,negativeValue,delta,scope,note
criterion2,negative median Roverflow >= positive + 0.25,FAIL,0.3750,0.4500,0.0750,A0_vs_A2,"A0_vs_A2 pos=0.3750 neg=0.4500 delta=0.0750 (False); A2_vs_A4 pos=0.2400 neg=0.4950 delta=0.2550 (True); A2_vs_A4 sub-block passes at the 0.25 boundary (delta=0.255) while A0_vs_A2 does not (delta=0.075), so the joint H1 gate does not hold -> FAIL"
criterion2,negative median Roverflow >= positive + 0.25,FAIL,0.2400,0.4950,0.2550,A2_vs_A4,"A0_vs_A2 pos=0.3750 neg=0.4500 delta=0.0750 (False); A2_vs_A4 pos=0.2400 neg=0.4950 delta=0.2550 (True); A2_vs_A4 sub-block passes at the 0.25 boundary (delta=0.255) while A0_vs_A2 does not (delta=0.075), so the joint H1 gate does not hold -> FAIL"
criterion3,one direction pool->next retention >=20pp lower,FAIL,1.0000,1.0000,0.0000,A0_vs_A2 E_C,"A0_vs_A2 E_C pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_E pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_W pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_B pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_C pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_E pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_W pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_B pos=1.0000 neg=1.0000 delta=0.0000; single non-retained representative: 100_5_3_1/20260901/A4_BUDGET_AWARE_CATA/E_E pool->next=5/6=0.8333, but sweep/seed-median deltas are 0.00 across directions, so no >=20pp systematic gap -> FAIL"
criterion3,one direction pool->next retention >=20pp lower,FAIL,1.0000,1.0000,0.0000,A0_vs_A2 E_E,"A0_vs_A2 E_C pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_E pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_W pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_B pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_C pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_E pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_W pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_B pos=1.0000 neg=1.0000 delta=0.0000; single non-retained representative: 100_5_3_1/20260901/A4_BUDGET_AWARE_CATA/E_E pool->next=5/6=0.8333, but sweep/seed-median deltas are 0.00 across directions, so no >=20pp systematic gap -> FAIL"
criterion3,one direction pool->next retention >=20pp lower,FAIL,1.0000,1.0000,0.0000,A0_vs_A2 E_W,"A0_vs_A2 E_C pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_E pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_W pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_B pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_C pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_E pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_W pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_B pos=1.0000 neg=1.0000 delta=0.0000; single non-retained representative: 100_5_3_1/20260901/A4_BUDGET_AWARE_CATA/E_E pool->next=5/6=0.8333, but sweep/seed-median deltas are 0.00 across directions, so no >=20pp systematic gap -> FAIL"
criterion3,one direction pool->next retention >=20pp lower,FAIL,1.0000,1.0000,0.0000,A0_vs_A2 E_B,"A0_vs_A2 E_C pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_E pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_W pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_B pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_C pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_E pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_W pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_B pos=1.0000 neg=1.0000 delta=0.0000; single non-retained representative: 100_5_3_1/20260901/A4_BUDGET_AWARE_CATA/E_E pool->next=5/6=0.8333, but sweep/seed-median deltas are 0.00 across directions, so no >=20pp systematic gap -> FAIL"
criterion3,one direction pool->next retention >=20pp lower,FAIL,1.0000,1.0000,0.0000,A2_vs_A4 E_C,"A0_vs_A2 E_C pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_E pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_W pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_B pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_C pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_E pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_W pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_B pos=1.0000 neg=1.0000 delta=0.0000; single non-retained representative: 100_5_3_1/20260901/A4_BUDGET_AWARE_CATA/E_E pool->next=5/6=0.8333, but sweep/seed-median deltas are 0.00 across directions, so no >=20pp systematic gap -> FAIL"
criterion3,one direction pool->next retention >=20pp lower,FAIL,1.0000,1.0000,0.0000,A2_vs_A4 E_E,"A0_vs_A2 E_C pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_E pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_W pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_B pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_C pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_E pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_W pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_B pos=1.0000 neg=1.0000 delta=0.0000; single non-retained representative: 100_5_3_1/20260901/A4_BUDGET_AWARE_CATA/E_E pool->next=5/6=0.8333, but sweep/seed-median deltas are 0.00 across directions, so no >=20pp systematic gap -> FAIL"
criterion3,one direction pool->next retention >=20pp lower,FAIL,1.0000,1.0000,0.0000,A2_vs_A4 E_W,"A0_vs_A2 E_C pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_E pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_W pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_B pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_C pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_E pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_W pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_B pos=1.0000 neg=1.0000 delta=0.0000; single non-retained representative: 100_5_3_1/20260901/A4_BUDGET_AWARE_CATA/E_E pool->next=5/6=0.8333, but sweep/seed-median deltas are 0.00 across directions, so no >=20pp systematic gap -> FAIL"
criterion3,one direction pool->next retention >=20pp lower,FAIL,1.0000,1.0000,0.0000,A2_vs_A4 E_B,"A0_vs_A2 E_C pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_E pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_W pos=1.0000 neg=1.0000 delta=0.0000; A0_vs_A2 E_B pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_C pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_E pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_W pos=1.0000 neg=1.0000 delta=0.0000; A2_vs_A4 E_B pos=1.0000 neg=1.0000 delta=0.0000; single non-retained representative: 100_5_3_1/20260901/A4_BUDGET_AWARE_CATA/E_E pool->next=5/6=0.8333, but sweep/seed-median deltas are 0.00 across directions, so no >=20pp systematic gap -> FAIL"
