instance,seed,arm,representative,records,selectionRate,poolToNextRate,pddrSelected,poolToNext,teacherUsed,improvedOffspring,improvedOffspringRate
100_2_5_1,20260911,A0_BASELINE,E_C,3,1.0000,1.0000,3,3,0,0,0.0000
100_2_5_1,20260911,A0_BASELINE,E_E,3,1.0000,1.0000,3,3,1,0,0.0000
100_2_5_1,20260911,A0_BASELINE,E_W,3,1.0000,1.0000,3,3,0,0,0.0000
100_2_5_1,20260911,A0_BASELINE,E_B,3,1.0000,1.0000,3,3,1,0,0.0000
100_2_5_1,20260911,A2_CFVF,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_2_5_1,20260911,A2_CFVF,E_E,2,1.0000,1.0000,2,2,1,1,0.5000
100_2_5_1,20260911,A2_CFVF,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_2_5_1,20260911,A2_CFVF,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
100_2_5_1,20260912,A0_BASELINE,E_C,3,1.0000,1.0000,3,3,1,0,0.0000
100_2_5_1,20260912,A0_BASELINE,E_E,3,1.0000,1.0000,3,3,1,0,0.0000
100_2_5_1,20260912,A0_BASELINE,E_W,3,1.0000,1.0000,3,3,0,0,0.0000
100_2_5_1,20260912,A0_BASELINE,E_B,3,1.0000,1.0000,3,3,1,0,0.0000
100_2_5_1,20260912,A2_CFVF,E_C,2,1.0000,1.0000,2,2,1,1,0.5000
100_2_5_1,20260912,A2_CFVF,E_E,2,1.0000,1.0000,2,2,0,0,0.0000
100_2_5_1,20260912,A2_CFVF,E_W,2,1.0000,1.0000,2,2,1,1,0.5000
100_2_5_1,20260912,A2_CFVF,E_B,2,1.0000,1.0000,2,2,1,0,0.0000
100_2_5_1,20260913,A0_BASELINE,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_2_5_1,20260913,A0_BASELINE,E_E,2,1.0000,1.0000,2,2,0,0,0.0000
100_2_5_1,20260913,A0_BASELINE,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_2_5_1,20260913,A0_BASELINE,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
100_2_5_1,20260913,A2_CFVF,E_C,2,1.0000,1.0000,2,2,1,1,0.5000
100_2_5_1,20260913,A2_CFVF,E_E,2,1.0000,1.0000,2,2,0,0,0.0000
100_2_5_1,20260913,A2_CFVF,E_W,2,1.0000,1.0000,2,2,1,1,0.5000
100_2_5_1,20260913,A2_CFVF,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260901,A2_CFVF,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260901,A2_CFVF,E_E,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260901,A2_CFVF,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260901,A2_CFVF,E_B,2,1.0000,1.0000,2,2,1,1,0.5000
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,E_C,6,1.0000,1.0000,6,6,5,5,0.8333
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,E_E,6,0.8333,0.8333,5,5,5,5,0.8333
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,E_W,6,1.0000,1.0000,6,6,5,4,0.6667
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,E_B,6,1.0000,1.0000,6,6,3,2,0.3333
100_5_3_1,20260902,A2_CFVF,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260902,A2_CFVF,E_E,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260902,A2_CFVF,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260902,A2_CFVF,E_B,2,1.0000,1.0000,2,2,1,0,0.0000
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,E_C,6,1.0000,1.0000,6,6,5,5,0.8333
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,E_E,6,1.0000,1.0000,6,6,5,4,0.6667
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,E_W,6,1.0000,1.0000,6,6,4,3,0.5000
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,E_B,6,1.0000,1.0000,6,6,4,1,0.1667
100_5_3_1,20260903,A2_CFVF,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260903,A2_CFVF,E_E,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260903,A2_CFVF,E_W,2,1.0000,1.0000,2,2,1,1,0.5000
100_5_3_1,20260903,A2_CFVF,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,E_C,6,1.0000,1.0000,6,6,5,4,0.6667
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,E_E,6,1.0000,1.0000,6,6,5,5,0.8333
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,E_W,6,1.0000,1.0000,6,6,5,5,0.8333
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,E_B,6,1.0000,1.0000,6,6,2,1,0.1667
100_8_3_1,20260911,A0_BASELINE,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260911,A0_BASELINE,E_E,2,1.0000,1.0000,2,2,1,0,0.0000
100_8_3_1,20260911,A0_BASELINE,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260911,A0_BASELINE,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260911,A2_CFVF,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260911,A2_CFVF,E_E,2,1.0000,1.0000,2,2,1,1,0.5000
100_8_3_1,20260911,A2_CFVF,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260911,A2_CFVF,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260912,A0_BASELINE,E_C,2,1.0000,1.0000,2,2,1,0,0.0000
100_8_3_1,20260912,A0_BASELINE,E_E,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260912,A0_BASELINE,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260912,A0_BASELINE,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260912,A2_CFVF,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260912,A2_CFVF,E_E,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260912,A2_CFVF,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260912,A2_CFVF,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260913,A0_BASELINE,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260913,A0_BASELINE,E_E,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260913,A0_BASELINE,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260913,A0_BASELINE,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260913,A2_CFVF,E_C,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260913,A2_CFVF,E_E,2,1.0000,1.0000,2,2,1,1,0.5000
100_8_3_1,20260913,A2_CFVF,E_W,2,1.0000,1.0000,2,2,0,0,0.0000
100_8_3_1,20260913,A2_CFVF,E_B,2,1.0000,1.0000,2,2,0,0,0.0000
