seed,status,usedByFailureReplay,usedByHistoricalFailureCase,usedByCorrespondingInstanceParameterSelection,usedByAnyPriorCalibration,legal,selectionRule,notes
20260901,EXCLUDED,true,true,false,false,no,historical failure case seed,F1 Failure Replay; also the case seed 100_5_3_1/20260901
20260902,EXCLUDED,false,false,false,false,no,already used by A2-A4 multi-instance confirmation,V35-A2-A4-MULTIINSTANCE-CONFIRMATION
20260903,EXCLUDED,false,false,false,false,no,already used by A2-A4 multi-instance confirmation; also FC5-T 100k screening,V35-A2-A4-MULTIINSTANCE-CONFIRMATION; V35-FC5-100JOB-TRANSFER
20260904,EXCLUDED,false,false,false,false,no,already used by A2-A4 multi-instance confirmation,V35-A2-A4-MULTIINSTANCE-CONFIRMATION
20260905,EXCLUDED,false,false,false,false,no,already used by A2-A4 multi-instance confirmation,V35-A2-A4-MULTIINSTANCE-CONFIRMATION
20260906,SELECTED,false,false,false,false,yes,smallest legal unused seed in the preregistered pool,no prior exposure in any campaign
20260907,SELECTED,false,false,false,false,yes,second smallest legal unused seed in the preregistered pool,no prior exposure in any campaign
poolDefinition,integers 20260906..20260915,n/a,n/a,n/a,n/a,n/a,preregistered candidate seed pool,frozen before any run; selection is by minimum value, never by stability or favourability
seedSelectionRule,take the two numerically smallest legal seeds,n/a,n/a,n/a,n/a,n/a,deterministic rule,explicitly forbids choosing stable or favourable seeds
changeAfterFreeze,forbidden,n/a,n/a,n/a,n/a,n/a,must not be replaced later,a seed change invalidates every RunKey
snapshotRequirement,explicit four-vector snapshot per (instance x seed),n/a,n/a,n/a,n/a,n/a,generated by the frozen ZhangBoV35FormalInitialPopulationFreezeRunner,never regenerated ad hoc
snapshotSha256Status,TO_BE_COMPUTED_BY_FROZEN_FREEZE_RUNNER,n/a,n/a,n/a,n/a,n/a,zero-FE snapshot generation,hashes recorded into the RunKey before any Race run
initialPopulationHashStatus,TO_BE_COMPUTED_BY_FROZEN_FREEZE_RUNNER,n/a,n/a,n/a,n/a,n/a,V35 and P8 hashes,both recorded per RunKey
